talk_id,title,description,speaker,recorded_date,published_date,event,duration,topic_names,views,files
129163,How AI is unlocking the secrets of nature and the universe,"Can AI help us answer life's biggest questions? In this visionary conversation, Google DeepMind cofounder and CEO Demis Hassabis delves into the history and incredible capabilities of AI with head of TED Chris Anderson. Hassabis explains how AI models like AlphaFold — which accurately predicted the shapes of all 200 million proteins known to science in under a year — have already accelerated scientific discovery in ways that will benefit humanity. Next up? Hassabis says AI has the potential to unlock the greatest mysteries surrounding our minds, bodies and the universe.",Demis Hassabis,2024-04-16,2024-04-29T14:33:21Z,TED2024,1533,"science,technology,innovation,future,AI,humanity,human body,tech",483721,
128758,My epic journey becoming the fastest person to paddle around Australia,"What challenges lie ahead of a staggering 12,700-kilometer paddle around the entire continent of Australia? Crocodiles and sharks were just the beginning, says Ironwoman Bonnie Hancock. Reflecting on her remarkable feat of becoming the fastest person to paddle around Australia, she shares lessons on perseverance, resilience and finding meaning in life's toughest moments.",Bonnie Hancock,2023-11-16,2024-04-30T14:47:22Z,TED@BCG,600,"sports,motivation,personal growth,humanity",318908,
128547,How do gas masks actually work?,"You might think of gas masks as clunky military-looking devices. But in the near future, we may need to rely on these filters as part of our everyday lives. In addition to emerging diseases, wildfire frequency has more than tripled, and climate change has increased toxic ground level ozone. So how do these masks work, and can they protect us from airborne threats? George Zaidan investigates. [Directed by Michael Kalopaidis, Zedem Media, narrated by George Zaidan, music by Manolis Manoli].",George Zaidan,2024-04-30,2024-04-30T15:14:51Z,TED-Ed,254,"environment,technology,design,education,natural disaster,chemistry,TED-Ed,animation",177866,
128041,The workers rebuilding communities after natural disasters,"As climate change leads to more and more natural disasters, a group of workers is showing up at one site after another to rebuild and repair. Labor organizer Saket Soni tells the stories of Resilience Force — the group of mostly immigrant workers restoring homes after hurricanes, floods and fires — and describes the unexpected bonds developing between the residents whose lives have been turned upside down and the laborers helping put things back together.",Saket Soni,2023-11-15,2024-05-01T14:48:47Z,TED Democracy,779,"climate change,social change,communication,community,activism,natural disaster,democracy,immigration",15153,
129460,How to govern AI — even if it's hard to predict,"No one truly understands AI, not even experts, says Helen Toner, an AI policy researcher and former board member of OpenAI. But that doesn't mean we can't govern it. She shows how we can make smart policies to regulate this technology even as we struggle to predict where it's headed — and why the right actions, right now, can shape the future we want.",Helen Toner,2024-04-16,2024-05-01T14:50:35Z,TED2024,676,"technology,computers,innovation,future,AI,policy,machine learning",330594,
129805,How the US is destroying young people's future,"In a scorching talk, marketing professor and podcaster Scott Galloway dissects the data showing that, by many measures, young people in the US are worse off financially than ever before. He unpacks the root causes and effects of this ""great intergenerational theft,"" asking why we let it continue and showing how we could make it end. (Note: This talk contains mature language.)",Scott Galloway,2024-04-17,2024-05-02T15:00:42Z,TED2024,1086,"politics,economics,future,United States,society,government,youth,policy,kids",388595,
129164,How to increase your happiness,"Many people would say the connection between happiness and gratefulness is very simple: when you are happy, you are grateful. But think again. Is it really the happy people that are grateful? Quite a number of people have everything that it would take to be happy, and they are not happy. So, how does gratefulness work? David-Steindl Rast shares the keys to living gratefully. [Directed by Avi Ofer, narrated by Adrian Dannatt and David Steindl-Rast, music by Stephen LaRosa].", TED-Ed,2024-05-02,2024-05-02T15:02:29Z,TED-Ed,349,"education,happiness,mental health,mindfulness,TED-Ed,animation,emotions",70852,
127674,"Is your partner ""the one?"" Wrong question","Marrying for love is a relatively recent phenomenon for humanity, and we still don't fully understand what it means for building successful relationships, says author and psychiatrist George Blair-West. Drawing from his extensive experience working with couples, he shares four questions every couple should ask themselves before tying the knot — and highlights surprising findings on how the way marriage starts impacts if it ends.",George Blair-West,2022-12-02,2024-05-03T14:44:49Z,TEDxBrisbane,931,"love,relationships,humanity,emotions",255814,
127527,What is earwax — and should you get rid of it?,"Grooming paraphernalia has been found in numerous archeological sites, many of which have included earwax removal tools. And earwax evacuation remains a popular hygienic habit today. But what is earwax? And are the efforts to eliminate it actually good for us? Henry C. Ou explores the important role earwax plays in our health. [Directed by Yuriy Polyashko, Max Zaglotskyi, Darvideo Animation Studio, narrated by Adrian Dannatt, music by Jarrett Farkas].",Henry Ou,2024-04-02,2024-04-02T15:02:47Z,TED-Ed,339,"education,health,health care,TED-Ed,hearing,animation,human body",605369,
125965,How to spot a cult,"Nobody joins a cult on purpose, says Sarah Edmondson, a former member of the infamous Nxivm cult and one of the three whistleblowers that led to its downfall. She explains how she got ensnared in this highly manipulative group — and then escaped it — and shares red flags to help you distinguish between a cult and a safe community.",Sarah Edmondson,2023-05-20,2024-04-03T14:55:09Z,TEDxPortland,1061,"culture,social change,relationships,communication,community,personal growth",549297,
